Регион,Округ,Население,Бюджет,Бюджет МиММ,Бюджет ПВ,Бюджет ВД,Бюджет ПиП,Бюджет других расходов,Общее количество организаций,Кол-во организаций МиММ,Кол-во организаций ПВ,Кол-во организаций ВД,Кол-во организаций ПиП,Кол-во других организаций,Общее количество вовлеченной молодежи,Численность МиММ,Численность ПВ,Численность ВД,Численность ПиП,Численность других отделений,M1 Вовлеченность,Бюджет на человек,M2 Вовлеченность,M3 Итоговая,Уровень вовлеченности населения,Уровень финансирования населения,Значение_      ТВ-сюжетов,Значение_      в интернет-СМИ,Значение_      в печатных средствах массовой информации,"Значение_Количество новостей, опубликованных от региона на официальном сайте федерального органа исполнительной власти, осуществляющего функции по оказанию государственных услуг и управлению государственным имуществом в сфере государственной молодeжной политики","Значение_Количество просмотров официального сайта органа исполнительной власти, реализующего государственную молодeжную политику","Значение_Количество публикаций в сообществах регионального органа исполнительной власти, реализующего государственную молодeжную политику в социальных сетях","Значение_Количество статей, опубликованных в главном правительственном печатном издании субъекта Российской Федерации о реализации государственной молодeжной политики в регионе","Значение_Количество статей, опубликованных региональным органом исполнительной власти, реализующим государственную молодeжную политику, направленных пресс-службой федерального органа исполнительной власти, осуществляющего функции по оказанию государственных услуг и управлению государственным имуществом в сфере государственной молодeжной политики","Значение_Количество упоминаний реагионального органа исполнительной власти, реализующего государственную молодeжную политику, в том числе:",Значение_Финансирование информационного освещения реализации государственной молодeжной политики,"Значение_Численность подписчиков / участников сообществ регионального органа исполнительной власти, реализующего государственную молодeжную политику в социальных сетях","Значение_Численость уникальных пользователей, посетивших официальный сайт регионального органа исполнительной власти, реализующего государственную молодeжную политику",Значение_Финансирование информационного освещения реализации государственной молодeжной политики2022,"Значение_Количество просмотров официального сайта органа исполнительной власти, реализующего государственную молодeжную политику2022","Значение_Численность подписчиков / участников сообществ регионального органа исполнительной власти, реализующего государственную молодeжную политику в социальных сетях2022"
Алтайский край,СФО,582674.0,79385237.0,26988520.0,5523776.0,10198161.0,4066040.0,32608740.0,3516.0,36.0,1268.0,1280.0,0.0,932.0,594079.0,6226.0,248000.0,185044.0,90.0,154719.0,0.040782942091117845,3340.6852034830385,2.508820210158209,0.0802611726124056,Низкий,Низкий,34.0,87.0,48.0,16.0,171600.0,2525.0,48.0,23.0,169.0,1006370.0,4801.0,35000.0,1054074.7453234098,186245.05424694569,5134.509957574923
Амурская область,ДФО,221589.0,27162222.0,0.0,2764369.0,3255650.0,1700.0,21140503.0,1525.0,2.0,568.0,290.0,0.0,665.0,456394.0,1408.0,72356.0,64518.0,112.0,318000.0,0.08238567798943089,1487.8713348554102,5.632999546354732,0.16239622301009252,Средний,Низкий,54.0,182.0,45.0,1.0,298900.0,359.0,32.0,1.0,281.0,0.0,2998.0,5881.0,0.0,324409.3631375995,3206.261373215917
Архангельская область,СЗФО,284250.0,261082773.61000004,1007745.0,132246288.0,6784397.0,1016300.0,120028043.61000004,7101.5,42.0,3096.0,926.0,0.0,3037.5,469633.0,1408.0,131836.0,42080.0,60.0,294249.0,0.06608731750219878,13898.234025824422,0.6030391011333956,0.11912020040729347,Средний,Низкий,196.0,13147.0,583.0,16.0,886688.0,3641.0,206.0,50.0,13926.0,5000000.0,49791.0,18554.0,5237013.9477697555,962361.6238934486,53249.81989119203
Астраханская  область,ЮФО,306209.0,43390173.0,10583700.0,5798132.0,555610.0,34001.0,26418730.0,1556.0,44.0,972.0,500.0,0.0,40.0,574441.0,1540.0,166818.0,114584.0,38.0,291461.0,0.07503907461896939,1888.3650801387785,4.4383253230137,0.14758295398066032,Средний,Низкий,420.0,4275.0,70.0,15.0,65000.0,8815.0,42.0,150.0,4765.0,503535.0,27162.0,39500.0,527403.9636380487,70547.36903293397,29048.85637734848
Белгородская область,ЦФО,400006.0,63572205.0,761651.0,5408539.0,4043156.0,19286010.0,34072849.0,3435.0,70.0,690.0,18.0,0.0,2657.0,481844.0,13040.0,163362.0,2628.0,1332.0,301482.0,0.04818367724484132,3298.381063165672,2.540997657266068,0.0945739947725475,Низкий,Низкий,191.0,327.0,932.0,72.0,48569.0,699.0,34.0,8.0,1450.0,4600.0,8544.0,13487.0,4818.052831948175,52714.079485547234,9137.524073634688
Брянская область,ЦФО,301126.0,30523498.0,3071727.0,2335639.0,7897514.0,548027.0,16670591.0,997.0,36.0,366.0,514.0,0.0,81.0,295618.0,9638.0,52206.0,129800.0,100.0,103874.0,0.03926834614081813,2581.3294521984453,3.2468457473092878,0.07759819595145186,Низкий,Низкий,297.0,1019.0,33100.0,8.0,131108.0,1954.0,1387.0,98.0,34416.0,1000000.0,5416.0,39348.0,1047402.789553951,142297.29937184474,5792.232020459442
Владимирская область,ЦФО,333206.0,40046637.0,60000.0,2380275.0,5726747.0,0.0,31879615.0,1739.0,10.0,654.0,684.0,0.0,391.0,397613.0,5008.0,117320.0,157038.0,0.0,118247.0,0.04773179354513424,2517.9406231687594,3.3285846684213114,0.09411399552164616,Низкий,Низкий,70.0,646.0,234.0,117.0,235616.0,496.0,19.0,19.0,950.0,764907.0,7484.0,14642.0,801165.7255493441,255724.44464713495,8003.889298581696
Волгоградская область,ЮФО,656245.0,294061724.0,650086.0,48675975.0,28146302.0,0.0,216589361.0,702.0,0.0,388.0,310.0,0.0,4.0,1472427.0,778.0,815688.0,181370.0,280.0,474311.0,0.08974861522754458,4992.806502461582,1.678650784912774,0.17038750791772264,Средний,Низкий,1031.0,7385.0,1254.0,160.0,397166.0,2965.0,234.0,48.0,9670.0,2308300.0,20446.0,96000.0,2417719.859127385,431061.7902974501,21866.317557295744
Вологодская область,СЗФО,289504.0,116889655.5,549787.0,13950953.0,38008512.0,289876.0,64090527.5,2182.0,14.0,1038.0,634.0,0.0,496.0,595148.5,2951.0,117594.0,123028.0,398.0,351177.5,0.08223009008511109,4910.104599944384,1.706924645631718,0.15690154079664517,Средний,Низкий,10.0,480.0,49.0,217.0,156171.0,4010.0,27.0,39.0,539.0,684961.0,41269.0,112804.0,717430.0621356638,169499.2795268051,44135.82408647354
Воронежская область,ЦФО,601133.0,107410420.0,953762.0,9984927.0,5918052.0,7600.0,90546079.0,5938.0,114.0,2794.0,1416.0,0.0,1614.0,1040041.0,4426.0,251640.0,207460.0,118.0,576397.0,0.06920538383352769,2581.87946436727,3.246154078818964,0.1355215574890953,Средний,Низкий,41.0,7636.0,217.0,54.0,125504.0,7636.0,21.0,56.0,7894.0,130000.0,97238.0,21393.0,136162.36264201364,136215.03081706687,103992.80967604047
