Регион,Округ,Население,Бюджет,Бюджет МиММ,Бюджет ПВ,Бюджет ВД,Бюджет ПиП,Бюджет других расходов,Общее количество организаций,Кол-во организаций МиММ,Кол-во организаций ПВ,Кол-во организаций ВД,Кол-во организаций ПиП,Кол-во других организаций,Общее количество вовлеченной молодежи,Численность МиММ,Численность ПВ,Численность ВД,Численность ПиП,Численность других отделений,M1 Вовлеченность,Бюджет на человек,M2 Вовлеченность,M3 Итоговая,Уровень вовлеченности населения,Уровень финансирования населения
Алтайский край,СФО,582674.0,79385237.0,26988520.0,5523776.0,10198161.0,4066040.0,32608740.0,3516.0,36.0,1268.0,1280.0,0.0,932.0,594079.0,6226.0,248000.0,185044.0,90.0,154719.0,0.040782942091117845,3340.6852034830385,2.508820210158209,0.0802611726124056,Низкий,Низкий
Амурская область,ДФО,221589.0,27162222.0,0.0,2764369.0,3255650.0,1700.0,21140503.0,1525.0,2.0,568.0,290.0,0.0,665.0,456394.0,1408.0,72356.0,64518.0,112.0,318000.0,0.08238567798943089,1487.8713348554102,5.632999546354732,0.16239622301009252,Средний,Низкий
Архангельская область,СЗФО,284250.0,261082773.61000004,1007745.0,132246288.0,6784397.0,1016300.0,120028043.61000004,7101.0,42.0,3096.0,926.0,0.0,3037.0,469633.0,1408.0,131836.0,42080.0,60.0,294249.0,0.06608731750219878,13898.234025824422,0.6030391011333956,0.11912020040729347,Средний,Низкий
Астраханская  область,ЮФО,310414.0,43390173.0,10583700.0,5798132.0,555610.0,34001.0,26418730.0,1556.0,44.0,972.0,500.0,0.0,40.0,574441.0,1540.0,166818.0,114584.0,38.0,291461.0,0.07402256341530988,1888.3650801387785,4.4383253230137,0.14561652866732086,Средний,Низкий
Белгородская область,ЦФО,400006.0,64274885.5,827416.0,5408539.0,3997758.0,19307835.0,34733337.5,3436.0,70.0,690.0,18.0,0.0,2658.0,481844.0,13040.0,163362.0,2628.0,1332.0,301482.0,0.04818367724484132,3334.838946837566,2.513218385620278,0.09455454517989542,Низкий,Низкий
Брянская область,ЦФО,301126.0,30523498.0,3071727.0,2335639.0,7897514.0,548027.0,16670591.0,997.0,36.0,366.0,514.0,0.0,81.0,295618.0,9638.0,52206.0,129800.0,100.0,103874.0,0.03926834614081813,2581.3294521984453,3.2468457473092878,0.07759819595145186,Низкий,Низкий
Владимирская область,ЦФО,333206.0,40046637.0,60000.0,2380275.0,5726747.0,0.0,31879615.0,1739.0,10.0,654.0,684.0,0.0,391.0,397613.0,5008.0,117320.0,157038.0,0.0,118247.0,0.04773179354513424,2517.9406231687594,3.3285846684213114,0.09411399552164616,Низкий,Низкий
Волгоградская область,ЮФО,656245.0,294061724.0,650086.0,48675975.0,28146302.0,0.0,216589361.0,702.0,0.0,388.0,310.0,0.0,4.0,1472427.0,778.0,815688.0,181370.0,280.0,474311.0,0.08974861522754458,4992.806502461582,1.678650784912774,0.17038750791772264,Средний,Низкий
Вологодская область,СЗФО,289504.0,117090481.0,615552.0,13950953.0,38008512.0,289876.0,64225588.0,2180.5,13.0,1038.0,634.0,0.0,495.5,595188.0,3066.0,117594.0,123028.0,398.0,351102.0,0.08223554769536863,4918.214118900247,1.7041101407249906,0.15689956503287308,Средний,Низкий
Воронежская область,ЦФО,601133.0,107410420.0,953762.0,9984927.0,5918052.0,7600.0,90546079.0,5938.0,114.0,2794.0,1416.0,0.0,1614.0,1040041.0,4426.0,251640.0,207460.0,118.0,576397.0,0.06920538383352769,2581.87946436727,3.246154078818964,0.1355215574890953,Средний,Низкий
